,Symbol,Sector,MarketCap,Industry,ETF,Name
71,ABRN,Consumer Services,0.0,Real Estate Investment Trusts,N,Arbor Realty Trust
75,ABT,Health Care,102678034526.13,"Food, Beverage & Tobacco",N,Abbott Laboratories
76,ABTX,Finance,521330065.2,Major Banks,N,"Allegiance Bancshares, Inc."
77,ABU,,,Materials,N,ABM RESOURCES NL
78,ABUS,Health Care,288870374.0,Major Pharmaceuticals,N,Arbutus Biopharma Corporation
79,ABV,,,Automobiles & Components,N,ADVANCED BRAKING TECHNOLOGY LTD
80,ABW,,,Not Applic,N,AURORA ABSOLUTE RETURN FUND
81,ABX,Basic Industries,17050770133.14,Materials,N,Barrick Gold Corporation Common Stock
82,AC,Finance,841407332.5,Investment Bankers/Brokers/Service,N,"Associated Capital Group, Inc."
84,ACAD,Health Care,3508809245.25,Major Pharmaceuticals,N,ACADIA Pharmaceuticals Inc.
85,ACB,,,Energy,N,A-CAP RESOURCES LIMITED
86,ACBI,Finance,460534529.4,Major Banks,N,"Atlantic Capital Bancshares, Inc. - Common Stock"
87,ACC,Consumer Services,5316540938.82,Real Estate Investment Trusts,N,American Campus Communities Inc
88,ACCO,Consumer Durables,1363853107.2,Publishing,N,Acco Brands Corporation
89,ACER,Health Care,142451227.0,Major Pharmaceuticals,N,Acer Therapeutics Inc.
91,ACET,Health Care,342569219.72,Other Pharmaceuticals,N,Aceto Corporation - Common Stock
92,ACFC,Finance,160514276.88,Savings Institutions,N,Atlantic Coast Financial Corporation
93,ACG,,,Health Care Equipment & Services,N,ATCOR MEDICAL HOLDINGS LIMITED
94,ACGL,Finance,11908227443.76,Property-Casualty Insurers,N,Arch Capital Group Ltd.
97,ACH,Basic Industries,10355159006.73,Aluminum,N,Aluminum Corporation of China Limited
98,ACHC,Health Care,2918496558.78,Medical Specialities,N,"Acadia Healthcare Company, Inc."
99,ACHN,Health Care,399787422.8,Major Pharmaceuticals,N,"Achillion Pharmaceuticals, Inc."
100,ACHV,Health Care,17443606.96,Biotechnology: In Vitro & In Vivo Diagnostic Substances,N,"Achieve Life Sciences, Inc. "
101,ACIA,Technology,1512089472.0,Semiconductors,N,"Acacia Communications, Inc."
102,ACIM,,,,Y,SPDR MSCI ACWI IMI ETF
103,ACIU,Health Care,750235149.56,Major Pharmaceuticals,N,AC Immune SA
104,ACIW,Technology,2700048930.48,Computer Software: Prepackaged Software,N,"ACI Worldwide, Inc. - Common Stock"
105,ACK,,,Insurance,N,AUSTOCK GROUP LIMITED
106,ACL,,,"Pharmaceuticals, Biotechnology & Life Sciences",N,ALCHEMIA LIMITED
107,ACLS,Technology,845799548.4,Industrial Machinery/Components,N,"Axcelis Technologies, Inc."
108,ACM,Consumer Services,6096906763.6,Military/Government/Technical,N,AECOM Common Stock
109,ACMR,Technology,76726420.0,Industrial Machinery/Components,N,"ACM Research, Inc."
110,ACN,Miscellaneous,101986965634.2,Business Services,N,Accenture plc Class A Ordinary Shares (Ireland)
111,ACNB,Finance,213748190.25,Major Banks,N,ACNB Corporation
112,ACO,,,Consumer Services,N,AUSTRALIAN CAREERS NETWORK LIMITED
113,ACOR,Health Care,1156992358.5,Biotechnology: Biological Products (No Diagnostic Substances),N,"Acorda Therapeutics, Inc."
114,ACP,n/a,189966266.16,Materials,N,AUDALIA RESOURCES LIMITED
115,ACQ,,,Not Applic,N,ACORN CAPITAL INVESTMENT FUND LIMITED
116,ACR,,,"Pharmaceuticals, Biotechnology & Life Sciences",N,ACRUX LIMITED
117,ACRE,Consumer Services,370240085.6,Real Estate Investment Trusts,N,Ares Commercial Real Estate Corporation
118,ACRS,Health Care,752366167.6,Major Pharmaceuticals,N,"Aclaris Therapeutics, Inc. - Common Stock"
119,ACRX,Health Care,103193697.45,Major Pharmaceuticals,N,"AcelRx Pharmaceuticals, Inc. - Common Stock"
120,ACS,,,Materials,N,ACCENT RESOURCES NL
121,ACSF,n/a,110001100.0,n/a,N,"American Capital Senior Floating, Ltd. - Common Stock"
122,ACSI,,,,Y,American Customer Satisfaction Core Alpha ETF
123,ACST,Health Care,26825505.48,Major Pharmaceuticals,N,"Acasti Pharma, Inc."
124,ACT,n/a,15852000.0,n/a,Y,AdvisorShares Vice ETF
125,ACTA,Technology,517013130.0,EDP Services,N,Actua Corporation
126,ACTG,Miscellaneous,189767932.5,Multi-Sector Companies,N,Acacia Research Corporation
127,ACU,Capital Goods,81011204.61,Software & Services,N,Acme United Corporation. Common Stock
128,ACV,n/a,231289574.7,n/a,N,AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest
129,ACW,,,"Pharmaceuticals, Biotechnology & Life Sciences",N,ACTINOGEN MEDICAL LIMITED
130,ACWF,,,,Y,iShares Edge MSCI Multifactor Global ETF
131,ACWI,n/a,9200256000.0,n/a,Y,iShares MSCI ACWI Index Fund
132,ACWV,,,,Y,iShares Edge MSCI Min Vol Global ETF
133,ACWX,n/a,3431538000.0,n/a,Y,iShares MSCI ACWI ex US Index Fund
134,ACX,,,Software & Services,N,ACONEX LIMITED
135,ACXM,Technology,2268327656.74,EDP Services,N,Acxiom Corporation - Common Stock
136,ACY,Technology,22029669.45,Diversified Commercial Services,N,AeroCentury Corp.
139,ADA,,,Software & Services,N,ADACEL TECHNOLOGIES LIMITED
140,ADAP,Health Care,461083425.96,Biotechnology: Biological Products (No Diagnostic Substances),N,Adaptimmune Therapeutics plc - American Depositary Shares
141,ADBE,Technology,96528070380.0,Computer Software: Prepackaged Software,N,Adobe Systems Incorporated
142,ADC,Consumer Services,1527935229.3,Real Estate Investment Trusts,N,Agree Realty Corporation Common Stock
143,ADD,,,Energy,N,ADAVALE RESOURCES LIMITED
144,ADES,Basic Industries,174831706.3,Major Chemicals,N,"Advanced Emissions Solutions, Inc."
145,ADH,,,Retailing,N,ADAIRS LIMITED
146,ADI,Technology,35230522259.16,Semiconductors,N,"Analog Devices, Inc. - Common Stock"
147,ADJ,,,Software & Services,N,ADSLOT LTD
148,ADM,Consumer Non-Durables,22878930263.92,Packaged Foods,N,Archer-Daniels-Midland Company
149,ADMA,Health Care,162233639.22,Biotechnology: Biological Products (No Diagnostic Substances),N,ADMA Biologics Inc - Common Stock
150,ADMP,Health Care,136886626.2,Major Pharmaceuticals,N,Adamis Pharmaceuticals Corporation - Common Stock
151,ADMS,Health Care,834618163.2,Major Pharmaceuticals,N,"Adamas Pharmaceuticals, Inc."
152,ADN,,,Materials,N,ANDROMEDA METALS LIMITED
153,ADNT,Capital Goods,7179407173.64,Auto Parts:O.E.M.,N,Adient plc Ordinary Shares 
154,ADO,,,"Pharmaceuticals, Biotechnology & Life Sciences",N,ANTEO DIAGNOSTICS LIMITED
155,ADOM,Capital Goods,144192569.97,Auto Parts:O.E.M.,N,"ADOMANI, Inc."
156,ADP,Technology,54127921546.5,EDP Services,N,"Automatic Data Processing, Inc. - Common Stock"
157,ADR,,,Health Care Equipment & Services,N,ADHERIUM LIMITED
158,ADRA,n/a,24173500.0,n/a,Y,BLDRS Asia 50 ADR Index Fund
159,ADRD,n/a,74352000.0,n/a,Y,BLDRS Developed Markets 100 ADR Index Fund
160,ADRE,n/a,175674000.0,n/a,Y,BLDRS Emerging Markets 50 ADR Index Fund
161,ADRO,Health Care,525664922.0,Major Pharmaceuticals,N,"Aduro Biotech, Inc."
162,ADRU,n/a,16786000.0,n/a,Y,BLDRS Europe 100 ADR Index Fund
163,ADS,Miscellaneous,14268520739.42,Business Services,N,Alliance Data Systems Corporation Common Stock
164,ADSK,Technology,24890150886.0,Computer Software: Prepackaged Software,N,"Autodesk, Inc. - Common Stock"
165,ADSW,Public Utilities,2122903744.06,Environmental Services,N,"Advanced Disposal Services, Inc."
166,ADTN,Public Utilities,907619790.35,Telecommunications Equipment,N,"ADTRAN, Inc."
167,ADUS,Health Care,436768795.45,Medical/Nursing Services,N,Addus HomeCare Corporation - Common Stock
168,ADV,,,Materials,N,ARDIDEN LTD
169,ADVM,Health Care,209442826.2,Biotechnology: Biological Products (No Diagnostic Substances),N,"Adverum Biotechnologies, Inc."
170,ADX,n/a,1554644568.62,Energy,N,Adams Diversified Equity Fund Inc.
171,ADXS,Health Care,123085884.24,Major Pharmaceuticals,N,"Advaxis, Inc."
173,ADY,,,Materials,N,ADMIRALTY RESOURCES NL.
174,ADZ,,,,N,"DB Agriculture Short ETN due April 1, 2038"
175,AE,Energy,205396925.2,Oil Refining/Marketing,N,"Adams Resources & Energy, Inc. Common Stock"
176,AEB,Finance,0.0,Life Insurance,N,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands)
177,AED,Finance,0.0,Life Insurance,N,AEGON N.V. Perp. Cap. Securities (Netherlands)
178,AEE,Public Utilities,13536595380.42,Energy,N,Ameren Corporation
179,AEF,,,Diversified Financials,N,AUSTRALIAN ETHICAL INVESTMENT LIMITED
180,AEG,Finance,14096933490.78,Life Insurance,N,ABSOLUTE EQUITY PERFORMANCE FUND LIMITED
181,AEGN,Basic Industries,839517250.01,Water Supply,N,Aegion Corp
182,AEH,Finance,0.0,Life Insurance,N,AEGON N.V. Perp. Cap Secs.
183,AEHR,Capital Goods,62135805.45,Electrical Products,N,Aehr Test Systems
184,AEI,,,Commercial & Professional Services,N,AERIS ENVIRONMENTAL LTD
185,AEIS,Capital Goods,2974695198.15,Industrial Machinery/Components,N,"Advanced Energy Industries, Inc."
186,AEK,Finance,0.0,Life Insurance,N,Aegon NV 8.00% Non-Cumulative Subordinated Notes due 2042
187,AEL,Finance,3060434336.06,Life Insurance,N,American Equity Investment Life Holding Company Common Stock
188,AEM,Basic Industries,11043905788.02,Precious Metals,N,Agnico Eagle Mines Limited Common Stock
189,AEMD,Capital Goods,20379420.45,Biotechnology: Laboratory Analytical Instruments,N,"Aethlon Medical, Inc. - Common Stock"
190,AEO,Consumer Services,3145442962.04,Clothing/Shoe/Accessory Stores,N,"American Eagle Outfitters, Inc. Common Stock"
191,AEP,Public Utilities,33571075287.75,Electric Utilities: Central,N,"American Electric Power Company, Inc."
192,AER,Technology,8542338526.86,Software & Services,N,AEERIS LTD
193,AERI,Health Care,2106851444.6,Biotechnology: Biological Products (No Diagnostic Substances),N,"Aerie Pharmaceuticals, Inc."
194,AES,Basic Industries,7079343987.52,Electric Utilities: Central,N,The AES Corporation
195,AET,Health Care,60374498468.1,Medical Specialities,N,Aetna Inc.
196,AETI,Energy,14305789.465,Industrial Machinery/Components,N,"American Electric Technologies, Inc. - Common Stock"
197,AEUA,Energy,0.0,Oil & Gas Production,N,Anadarko Petroleum Corporation 7.50% Tangible Equity Units
198,AEV,,,Materials,N,AVENIRA LIMITED
199,AEY,Consumer Services,14725432.8,Office Equipment/Supplies/Services,N,"ADDvantage Technologies Group, Inc. - Common Stock"
200,AEZS,Health Care,39622231.6,Major Pharmaceuticals,N,AEterna Zentaris Inc.
201,AFA,,,Diversified Financials,N,ASF GROUP LIMITED
202,AFAM,Health Care,834583877.25,Medical/Nursing Services,N,Almost Family Inc
203,AFB,n/a,381732750.08,n/a,N,AllianceBernstein National Municipal Income Fund Inc
204,AFC,n/a,204080000.0,n/a,N,Ares Capital Corporation
205,AFG,Finance,9681829299.64,Banks,N,"American Financial Group, Inc."
206,AFGE,Finance,0.0,Property-Casualty Insurers,N,"American Financial Group, Inc."
207,AFGH,Finance,0.0,Property-Casualty Insurers,N,"American Financial Group, Inc."
208,AFH,Finance,243020200.6,Property-Casualty Insurers,N,"Atlas Financial Holdings, Inc."
210,AFI,Consumer Non-Durables,435013233.46,Plastic Products,N,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED
211,AFK,,,,Y,VanEck Vectors-Africa Index ETF
212,AFL,Finance,34526399628.4,Accident &Health Insurance,N,Aflac Incorporated
213,AFMD,Health Care,55839205.0,Major Pharmaceuticals,N,Affimed N.V.
214,AFP,,,"Pharmaceuticals, Biotechnology & Life Sciences",N,AFT PHARMACEUTICALS LIMITED
215,AFR,,,Energy,N,AFRICAN ENERGY RESOURCES LIMITED
216,AFSI,Finance,2520901754.5,Property-Casualty Insurers,N,"AmTrust Financial Services, Inc. - Common Stock"
229,AFSS,Finance,0.0,Property-Casualty Insurers,N,"AmTrust Financial Services, Inc. 7.25% Subordinated Notes due 2055"
230,AFST,Finance,0.0,Property-Casualty Insurers,N,"AmTrust Financial Services, Inc. 7.50% Subordinated Notes due September 15, 2055"
231,AFT,n/a,252750780.03,Capital Goods,N,AFT CORPORATION LIMITED
232,AFTY,,,,Y,CSOP FTSE China A50 ETF
233,AG,Basic Industries,1199908107.36,Precious Metals,N,First Majestic Silver Corp.
234,AGA,,,,N,"DB Agriculture Double Short ETN due April 1, 2038"
235,AGC,n/a,168582839.04,n/a,N,Advent Claymore Convertible Securities and Income Fund II
236,AGCO,Capital Goods,5808694121.16,Industrial Machinery/Components,N,AGCO Corporation
237,AGD,n/a,141559284.96,Materials,N,Alpine Global Dynamic Dividend Fund
238,AGE,,,Energy,N,ALLIGATOR ENERGY LIMITED
239,AGEN,Health Care,392717022.88,Biotechnology: Biological Products (No Diagnostic Substances),N,Agenus Inc.
240,AGF,,,,N,"DB Agriculture Long ETN due April 1, 2038"
241,AGFS,Finance,387094467.58,Business Services,N,"AgroFresh Solutions, Inc."
243,AGG,,,Materials,Y,ANGLOGOLD ASHANTI LIMITED
244,AGGE,,,,Y,IQ Enhanced Core Bond U.S. ETF
245,AGGP,,,,Y,IQ Enhanced Core Plus Bond U.S. ETF
246,AGGY,,,,Y,WisdomTree Barclays Yield Enhanced U.S. Aggregate Bond Fund
247,AGI,Basic Industries,2408234356.0,Consumer Services,N,AINSWORTH GAME TECHNOLOGY LIMITED
248,AGII,Finance,1856537980.65,Specialty Insurers,N,"Argo Group International Holdings, Ltd."
250,AGIO,Health Care,3428889145.37,Major Pharmaceuticals,N,"Agios Pharmaceuticals, Inc. - Common Stock"
251,AGJ,,,Real Estate,N,AGRICULTURAL LAND TRUST
252,AGL,,,Utilities,N,AGL ENERGY LIMITED.
253,AGLE,Health Care,108021656.27,Major Pharmaceuticals,N,"Aeglea BioTherapeutics, Inc."
254,AGM,Finance,838082212.92,Finance Companies,N,Federal Agricultural Mortgage Corporation
262,AGN,Health Care,58774084901.84,Major Pharmaceuticals,N,Allergan plc Ordinary Shares
264,AGNC,Consumer Services,7657660175.9,Real Estate Investment Trusts,N,AGNC Investment Corp. - Common Stock
267,AGND,n/a,17480000.0,n/a,Y,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund
269,AGO,Finance,3964067403.75,Materials,N,ATLAS IRON LIMITED
276,AGQ,,,,Y,ProShares Ultra Silver
277,AGR,Public Utilities,14962035270.24,Materials,N,"Avangrid, Inc. Common Stock"
278,AGRO,Consumer Non-Durables,1200565605.15,Farming/Seeds/Milling,N,Adecoagro S.A. Common Shares
279,AGRX,Health Care,113498655.44,Major Pharmaceuticals,N,"Agile Therapeutics, Inc."
280,AGS,,,Materials,N,ALLIANCE RESOURCES LIMITED
281,AGT,,,,Y,iShares MSCI Argentina and Global Exposure ETF
282,AGTC,Health Care,71468278.25,Biotechnology: Biological Products (No Diagnostic Substances),N,Applied Genetic Technologies Corporation
283,AGX,Basic Industries,708244150.45,Engineering & Construction,N,"Argan, Inc."
284,AGY,,,Materials,N,ARGOSY MINERALS LIMITED
285,AGYS,Technology,293511321.4,EDP Services,N,"Agilysys, Inc. - Common Stock"
286,AGZ,,,,Y,iShares  Agency Bond ETF
287,AGZD,n/a,24225000.0,n/a,Y,WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond Fund
288,AHC,Consumer Services,106590513.4,Newspapers/Magazines,N,A.H. Belo Corporation Common Stock
289,AHF,,,"Food, Beverage & Tobacco",N,AUSTRALIAN DAIRY FARMS GROUP
290,AHG,,,Retailing,N,AUTOMOTIVE HOLDINGS GROUP LIMITED.
291,AHGP,Energy,1683946190.0,Coal Mining,N,"Alliance Holdings GP, L.P. - Common Units Representing Limited Partner Interests"
292,AHH,Finance,656524485.72,Real Estate,N,"Armada Hoffler Properties, Inc. Common Stock"
293,AHK,,,Materials,N,ARK MINES LIMITED
294,AHL,Finance,2307974498.55,Software & Services,N,AHALIFE HOLDINGS LIMITED
299,AHN,,,Materials,N,ATHENA RESOURCES LIMITED
300,AHP,Consumer Services,310932722.32,Real Estate Investment Trusts,N,"Ashford Hospitality Prime, Inc."
302,AHPA,Health Care,383625000.0,Biotechnology: Commercial Physical & Biological Resarch,N,Avista Healthcare Public Acquisition Corp. - Class A Ordinary Shares
305,AHPI,Health Care,8749510.66,Industrial Specialties,N,"Allied Healthcare Products, Inc."
307,AHQ,,,Materials,N,ALLEGIANCE COAL LIMITED
308,AHR,,,Materials,N,ANCHOR RESOURCES LIMITED
309,AHT,Consumer Services,662672389.6,Real Estate Investment Trusts,N,Ashford Hospitality Trust Inc
320,AHX,,,Health Care Equipment & Services,N,APIAM ANIMAL HEALTH LIMITED
321,AHY,,,Household & Personal Products,N,ASALEO CARE LIMITED
322,AHZ,,,Health Care Equipment & Services,N,ADMEDUS LTD
323,AI,Finance,333748951.06,Finance/Investors Services,N,Arlington Asset Investment Corp Class A (new)
324,AI$B,,,,N,Arlington Asset Investment Corp 7.00% Series B Cumulative Perpetual Redeemable Preferred Stock
325,AIA,n/a,823236570.0,Transportation,Y,iShares Asia 50 ETF
326,AIB,,,Diversified Financials,N,AURORA GLOBAL INCOME TRUST
327,AIC,Finance,0.0,Finance/Investors Services,N,Arlington Asset Investment Corp 6.750% Notes due 2025
328,AIEQ,,,,Y,AI Powered Equity ETF
329,AIF,n/a,226217366.64,n/a,N,Apollo Tactical Income Fund Inc. Common Stock
330,AIG,Finance,55214084566.82,Property-Casualty Insurers,N,"American International Group, Inc. New Common Stock"
333,AIMC,Capital Goods,1506217374.9,Industrial Machinery/Components,N,Altra Industrial Motion Corp.
334,AIMT,Health Care,1935519404.13,Major Pharmaceuticals,N,"Aimmune Therapeutics, Inc."
335,AIN,Basic Industries,2031820000.0,Textiles,N,Albany International Corporation
336,AINC,Consumer Services,198808495.0,Professional Services,N,Ashford Inc.
337,AINV,n/a,1260413536.58,n/a,N,Apollo Investment Corporation - Closed End Fund
338,AIQ,,,Not Applic,N,ALTERNATIVE INVESTMENT TRUST
339,AIR,Capital Goods,1429113698.95,Capital Goods,N,ASTIVITA LIMITED
340,AIRG,Technology,89178050.78,Radio And Television Broadcasting And Communications Equipment,N,"Airgain, Inc."
341,AIRI,Capital Goods,38284740.34,Military/Government/Technical,N,Air Industries Group Common Stock
342,AIRR,n/a,210343055.72,n/a,Y,First Trust RBA American Industrial Renaissance ETF
343,AIRT,Transportation,63837156.25,Air Freight/Delivery Services,N,"Air T, Inc. - Common Stock"
344,AIS,,,Materials,N,AERIS RESOURCES LIMITED
345,AIT,Consumer Durables,2717064350.0,Industrial Specialties,N,"Applied Industrial Technologies, Inc."
346,AIV,Consumer Services,6431674941.44,Real Estate Investment Trusts,N,Apartment Investment and Management Company Common Stock
349,AIW,Finance,0.0,Finance/Investors Services,N,Arlington Asset Investment Corp 6.625% Notes due 2023
350,AIY,n/a,0.0,Not Applic,N,AUTHORISED INVESTMENT FUND LIMITED
351,AIZ,Finance,4986384141.21,Transportation,N,AIR NEW ZEALAND LIMITED
352,AI^B,n/a,0.0,n/a,N,Arlington Asset Investment Corp
353,AJC,,,Energy,N,ACACIA COAL LIMITED
354,AJD,,,Real Estate,N,ASIA PACIFIC DATA CENTRE GROUP
355,AJG,Finance,11580175950.0,Specialty Insurers,N,Arthur J. Gallagher & Co. Common Stock
356,AJJ,,,Health Care Equipment & Services,N,ASIAN AMERICAN MEDICAL GROUP LIMITED
357,AJL,,,Capital Goods,N,AJ LUCAS GROUP LIMITED
358,AJM,,,Materials,N,ALTURA MINING LIMITED
359,AJQ,,,Energy,N,ARMOUR ENERGY LIMITED
360,AJRD,Capital Goods,2315333000.0,Military/Government/Technical,N,"Aerojet Rocketdyne Holdings, Inc. "
361,AJX,Consumer Services,252789853.75,Real Estate Investment Trusts,N,Great Ajax Corp.
362,AJXA,Consumer Services,0.0,Real Estate Investment Trusts,N,Great Ajax Corp.
363,AJY,,,Materials,N,ASAPLUS RESOURCES LIMITED
364,AKAM,Miscellaneous,11062523665.2,Business Services,N,"Akamai Technologies, Inc."
365,AKAO,Health Care,501516394.47,Major Pharmaceuticals,N,"Achaogen, Inc."
366,AKBA,Health Care,715182284.89,Major Pharmaceuticals,N,"Akebia Therapeutics, Inc. - Common Stock"
367,AKCA,Health Care,1151170181.7,Major Pharmaceuticals,N,"Akcea Therapeutics, Inc."
368,AKER,Health Care,9426165.6,Biotechnology: In Vitro & In Vivo Diagnostic Substances,N,Akers Biosciences Inc - Common Stock
369,AKF,,,Diversified Financials,N,ASK FUNDING LIMITED
370,AKG,Basic Industries,178873202.1944,Mining & Quarrying of Nonmetallic Minerals (No Fuels),N,ACADEMIES AUSTRALASIA GROUP LIMITED
371,AKM,,,Materials,N,ASPIRE MINING LIMITED
372,AKN,,,Materials,N,AUKING MINING LIMITED
375,AKP,n/a,115402471.32,Consumer Durables & Apparel,N,Alliance California Municipal Income Fund Inc
376,AKR,Consumer Services,2115246450.45,Real Estate Investment Trusts,N,Acadia Realty Trust
377,AKRX,Health Care,4146091086.15,Major Pharmaceuticals,N,"Akorn, Inc."
378,AKS,Basic Industries,2093941526.25,Steel/Iron Ore,N,AK Steel Holding Corporation Common Stock
379,AKTS,Public Utilities,142178960.42,Telecommunications Equipment,N,"Akoustis Technologies, Inc."
380,AKTX,Health Care,44215981.29,Major Pharmaceuticals,N,Akari Therapeutics Plc
381,AL,Technology,5081477426.68,Diversified Commercial Services,N,Air Lease Corporation
383,ALB,Basic Industries,14027422894.45,Major Chemicals,N,Albemarle Corporation
384,ALBO,Health Care,249273622.51,Major Pharmaceuticals,N,"Albireo Pharma, Inc. - Common Stock"
385,ALC,,,Health Care Equipment & Services,N,ALCIDION GROUP LIMITED
386,ALCO,Consumer Non-Durables,226307599.65,Farming/Seeds/Milling,N,"Alico, Inc. - Common Stock"
387,ALD,,,,Y,WisdomTree Asia Local Debt Fund ETF
388,ALDR,Health Care,1119408543.0,Major Pharmaceuticals,N,"Alder BioPharmaceuticals, Inc. - Common Stock"
389,ALDW,Energy,1198687217.76,Integrated oil Companies,N,"Alon USA Partners, LP Common Units representing Limited Partner Interests"
390,ALDX,Health Care,127132545.4,Major Pharmaceuticals,N,"Aldeyra Therapeutics, Inc. - Common Stock"
391,ALE,Public Utilities,3769278743.3,Power Generation,N,"Allete, Inc."
392,ALEX,Consumer Services,1369099094.4,Real Estate Investment Trusts,N,"Alexander & Baldwin Holdings, Inc."
393,ALF,,,Diversified Financials,N,AUSTRALIAN LEADERS FUND LIMITED
394,ALFA,,,,Y,AlphaClone Alternative Alpha ETF
395,ALFI,,,,Y,AlphaClone International ETF
396,ALG,Capital Goods,1340284436.68,Industrial Machinery/Components,N,"Alamo Group, Inc. Common Stock"
397,ALGN,Health Care,21828379914.0,Industrial Specialties,N,"Align Technology, Inc. - Common Stock"
398,ALGT,Transportation,2678579639.4,Air Freight/Delivery Services,N,Allegiant Travel Company
399,ALI,,,Diversified Financials,N,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED
400,ALIM,Health Care,85398204.84,Major Pharmaceuticals,N,"Alimera Sciences, Inc."
401,ALJJ,Miscellaneous,134683595.28,Business Services,N,"ALJ Regional Holdings, Inc. - Common Stock"
402,ALK,Transportation,8714039605.54,Materials,N,ALKANE RESOURCES LIMITED
403,ALKS,Health Care,8760614732.1,Major Pharmaceuticals,N,Alkermes plc - Ordinary Shares
